repo1,repo2,Similarity(No. 1),Similarity(No. 2)
jendrikseipp/vulture,tartiflette/tartiflette-aiohttp,0.581,0.187
libvips/pyvips,dateutil/dateutil,0.743,0.138
WhyNotHugo/python-barcode,ryanmcgrath/twython,0.828,0.859
gunnery/gunnery,PrefectHQ/prefect,0.59,0.828
ionelmc/python-manhole,google/pyringe,0.189,0.129
benfred/py-spy,benfred/py-spy,0.031,0.039
ponyorm/pony,sdispater/orator,0.107,0.188
zoofIO/flexx,Fizzadar/pyinfra,0.114,0.077
omab/python-social-auth,pennersr/django-allauth,0.029,0.432
jazzband/django-taggit,dbcli/pgcli,0.242,0.617
vinta/pangu.py,orsinium/textdistance,0.066,0.268
pyfilesystem/pyfilesystem2,xonsh/xonsh,0.015,0.378
pycco-docs/pycco,jmcnamara/XlsxWriter,0.611,0.355
jazzband/django-pipeline,miracle2k/webassets,0.29,0.421
vispy/vispy,vispy/vispy,0.219,0.61
michaelhelmick/lassie,tomerfiliba/rpyc,0.773,0.706
Pylons/waitress,pallets/werkzeug,0.074,0.117
buriy/python-readability,coleifer/micawber,0.106,0.059
encode/uvicorn,pallets/werkzeug,0.153,0.148
google/pyringe,fogleman/Quads,0.81,0.229
coleifer/micawber,coleifer/micawber,0.182,0.13
miso-belica/sumy,Alir3z4/html2text,0.09,0.149
SavinaRoja/PyUserInput,khamidou/lptrace,0.696,0.175
html5lib/html5lib-python,stchris/untangle,0.759,0.135
Parsely/streamparse,aws/aws-cli,0.144,0.607
python-openxml/python-docx,CleanCut/green,0.143,0.566
SmileyChris/django-countries,quantopian/zipline,0.858,0.368
ageitgey/face_recognition,beetbox/audioread,0.78,0.392
ironmussa/Optimus,ironmussa/Optimus,0.224,0.295
martinblech/xmltodict,Delgan/loguru,0.533,0.214
secdev/scapy,carlosescri/DottedDict,0.942,0.778
aaugustin/websockets,nvdv/vprof,0.883,0.857
PetrochukM/PyTorch-NLP,stanfordnlp/stanza,0.468,0.127
stchris/untangle,gawel/pyquery,0.536,0.133
django-guardian/django-guardian,django-guardian/django-guardian,0.1,0.095
mozillazg/python-pinyin,lk-geimfari/mimesis,0.038,0.047
HypothesisWorks/hypothesis,worldveil/dejavu,0.088,0.263
DiffSK/configobj,gaojiuli/toapi,0.146,0.307
pymc-devs/pymc3,pallets/itsdangerous,0.845,0.562
gleitz/howdoi,PyCQA/prospector,0.854,0.381
Yelp/mrjob,dask/dask,0.379,0.269
facebookresearch/pytext,miso-belica/sumy,0.573,0.307
Alir3z4/html2text,gaojiuli/toapi,0.482,0.054
ZoomerAnalytics/xlwings,pytransitions/transitions,0.463,0.099
dbcli/pgcli,aws/aws-cli,0.683,0.271
dmlc/xgboost,lorien/grab,0.964,0.3
RaylockLLC/DearPyGui,nucleic/enaml,0.171,0.124
buriy/python-readability,python-excel/xlrd,0.476,0.072
isnowfy/snownlp,facebookresearch/pytext,0.116,0.197
thumbor/thumbor,dahlia/wand,0.037,0.11
dabeaz/ply,devpi/devpi,0.747,0.472
spotify/annoy,benfred/implicit,0.56,0.355
zoofIO/flexx,platformio/platformio-core,0.296,0.213
dbcli/litecli,aws/aws-cli,0.406,0.32
mindsdb/mindsdb,mindsdb/mindsdb,0.087,0.28
khamidou/lptrace,devsnd/tinytag,0.105,0.279
python-pillow/Pillow,pycco-docs/pycco,0.394,0.116
crossbario/autobahn-python,aaugustin/websockets,0.102,0.188
selwin/python-user-agents,derek73/python-nameparser,0.085,0.743
jakubroztocil/httpie,emirozer/fake2db,0.055,0.633
bpython/bpython,gotcha/ipdb,0.138,0.166
pyfilesystem/pyfilesystem2,pyfilesystem/pyfilesystem2,0.11,0.064
dabeaz/ply,daviddrysdale/python-phonenumbers,0.254,0.301
lk-geimfari/mimesis,MongoEngine/mongoengine,0.156,0.225
SmileyChris/django-countries,pyglet/pyglet,0.806,0.162
emirozer/fake2db,pycco-docs/pycco,0.518,0.279
pallets/jinja,lorien/grab,0.458,0.286
lincolnloop/python-qrcode,dahlia/wand,0.159,0.16
mher/flower,noxrepo/pox,0.528,0.492
miracle2k/webassets,bbangert/beaker,0.368,0.406
jeffknupp/sandman2,keunwoochoi/kapre,0.888,0.923
antocuni/pdb,joke2k/faker,0.5,0.962
awesto/django-shop,nficano/python-lambda,0.676,0.666
binux/pyspider,chineking/cola,0.41,0.412
stanfordnlp/stanza,lancopku/pkuseg-python,0.123,0.065
beetbox/audioread,keunwoochoi/kapre,0.28,0.077
jfkirk/tensorrec,NicolasHug/Surprise,0.467,0.535
tqdm/tqdm,jeffknupp/sandman2,0.559,0.482
coleifer/huey,pricingassistant/mrq,0.359,0.306
KoffeinFlummi/Chronyk,python/typeshed,0.765,0.33
wtforms/wtforms,Microsoft/PTVS,0.643,0.502
spyder-ide/spyder,spyder-ide/spyder,0.531,0.449
podio/valideer,agiliq/merchant,0.234,0.128
ChrisKnott/Eel,ChrisKnott/Eel,0.063,0.083
dbcli/pgcli,laixintao/iredis,0.116,0.234
django-compressor/django-compressor,emirozer/fake2db,0.103,0.227
ansible/ansible,carlospalol/money,0.164,0.359
rsalmei/alive-progress,marshmallow-code/marshmallow,0.457,0.513
keras-team/keras,buriy/python-readability,0.465,0.73
dateutil/dateutil,sdispater/pendulum,0.339,0.517
SciTools/cartopy,mingrammer/diagrams,0.896,0.912
libvips/pyvips,MechanicalSoup/MechanicalSoup,0.954,0.91
benedekrozemberczki/karateclub,pymc-devs/pymc3,0.044,0.107
coleifer/peewee,dahlia/awesome-sqlalchemy,0.079,0.096
vispy/vispy,SciTools/cartopy,0.827,0.265
quantopian/zipline,pennersr/django-allauth,0.977,0.476
python/black,HypothesisWorks/hypothesis,0.514,0.286
pycco-docs/pycco,mitmproxy/pdoc,0.885,0.291
joestump/python-oauth2,omab/python-social-auth,0.255,0.172
jschneier/django-storages,miracle2k/webassets,0.289,0.185
willmcgugan/rich,glamp/bashplotlib,0.468,0.445
mozillazg/python-pinyin,seatgeek/fuzzywuzzy,0.303,0.522
r0x0r/pywebview,pyenv/pyenv,0.667,0.397
nucleic/enaml,pyglet/pyglet,0.34,0.288
Suor/django-cacheops,lericson/pylibmc,0.041,0.132
jazzband/pip-tools,sdispater/poetry,0.162,0.106
mozilla/bleach,gawel/pyquery,0.179,0.098
dbcli/pgcli,jindaxiang/akshare,0.092,0.106
tyiannak/pyAudioAnalysis,encode/uvicorn,0.98,0.83
pykong/copier,mooz/percol,0.834,0.629
keon/algorithms,prabhupant/python-ds,0.052,0.111
zostera/django-bootstrap4,django-crispy-forms/django-crispy-forms,0.074,0.087
DiffSK/configobj,google/pyringe,0.22,0.249
ZoomerAnalytics/xlwings,unoconv/unoconv,0.147,0.081
noxrepo/pox,seatgeek/fuzzywuzzy,0.349,0.363
daviddrysdale/python-phonenumbers,pyparsing/pyparsing,0.171,0.311
pypa/virtualenv,pypa/virtualenv,0.169,0.047
web2py/pydal,ponyorm/pony,0.085,0.045
cloudnativelabs/kube-shell,cloudnativelabs/kube-shell,0.463,0.722
Kotti/Kotti,pymc-devs/pymc3,0.671,0.513
lk-geimfari/mimesis,joke2k/faker,0.155,0.091
Yelp/mrjob,spotify/luigi,0.552,0.197
pyeve/eve,lepture/mistune,0.891,0.846
miracle2k/webassets,miracle2k/flask-assets,0.209,0.685
dabeaz/ply,derek73/python-nameparser,0.477,0.739
codeinthehole/purl,KoffeinFlummi/Chronyk,0.289,0.57
ponyorm/pony,Manisso/fsociety,0.24,0.175
wemake-services/wemake-python-styleguide,wemake-services/wemake-python-styleguide,0.044,0.275
alecthomas/voluptuous,michaelhelmick/lassie,0.502,0.306
django-haystack/pysolr,elastic/elasticsearch-dsl-py,0.347,0.198
bbangert/beaker,django-cache-machine/django-cache-machine,0.122,0.405
willmcgugan/rich,davidhalter/jedi-vim,0.168,0.338
pyexcel/pyexcel,elapouya/python-docx-template,0.093,0.305
fabric/fabric,tschellenbach/Stream-Framework,0.167,0.438
jendrikseipp/vulture,coala/coala,0.38,0.274
jfkirk/tensorrec,modoboa/modoboa,0.863,0.172
r0x0r/pywebview,ChrisKnott/Eel,0.324,0.174
shazow/urllib3,burnash/gspread,0.633,0.293
prabhupant/python-ds,mpdavis/python-jose,0.506,0.504
zostera/django-bootstrap4,shazow/urllib3,0.124,0.302
mooz/percol,audreyr/cookiecutter,0.209,0.058
PetrochukM/PyTorch-NLP,PetrochukM/PyTorch-NLP,0.072,0.048
dask/dask,CleanCut/green,0.439,0.745
html5lib/html5lib-python,MagicStack/uvloop,0.389,0.591
sympy/sympy,sympy/sympy,0.306,0.303
kiwicom/schemathesis,mozilla/bleach,0.78,0.41
patrys/httmock,mindflayer/python-mocket,0.879,0.776
jendrikseipp/vulture,mymarilyn/clickhouse-driver,0.951,0.861
Instagram/MonkeyType,Alir3z4/html2text,0.385,0.772
WhyNotHugo/python-barcode,rossgoodwin/hmap,0.177,0.531
zoofIO/flexx,google/yapf,0.555,0.172
encode/apistar,falconry/falcon,0.348,0.167
dimka665/awesome-slugify,Suor/funcy,0.222,0.353
wtforms/wtforms,dyve/django-bootstrap3,0.037,0.258
selwin/python-user-agents,andialbrecht/sqlparse,0.111,0.14
django-compressor/django-compressor,miracle2k/flask-assets,0.036,0.083
noxrepo/pox,bloomreach/s4cmd,0.561,0.412
aws/aws-cli,aws/aws-cli,0.137,0.178
lericson/pylibmc,Suor/django-cacheops,0.546,0.085
python-attrs/attrs,martinblech/xmltodict,0.714,0.077
gaojiuli/toapi,miso-belica/sumy,0.271,0.507
zachwill/moment,gmr/queries,0.147,0.795
dylanaraps/pywal,fogleman/Quads,0.118,0.337
tiangolo/fastapi,linkedin/shiv,0.608,0.402
librosa/librosa,MongoEngine/mongoengine,0.206,0.14
jonashaag/bjoern,httplib2/httplib2,0.404,0.127
python-pillow/Pillow,fogleman/Quads,0.766,0.62
flask-admin/flask-admin,clips/pattern,0.968,0.474
google/yapf,lincolnloop/python-qrcode,0.232,0.092
gleitz/howdoi,gleitz/howdoi,0.069,0.086
locustio/locust,locustio/locust,0.083,0.042
derek73/python-nameparser,andialbrecht/sqlparse,0.359,0.092
henriquebastos/python-decouple,dask/dask,0.684,0.094
davidhalter/jedi-vim,davidhalter/jedi-vim,0.315,0.128
Theano/Theano,Miserlou/Zappa,0.602,0.339
aizvorski/scikit-video,buriy/python-readability,0.853,0.193
chapmanb/bcbb,sunainapai/makesite,0.903,0.905
keleshev/schema,spotify/annoy,0.883,0.9
ChrisKnott/Eel,huge-success/sanic,0.272,0.445
scrapinghub/portia,MechanicalSoup/MechanicalSoup,0.201,0.345
dylanaraps/pywal,dahlia/wand,0.038,0.053
AtsushiSakai/PythonRobotics,AtsushiSakai/PythonRobotics,0.176,0.062
jiaaro/pydub,stanfordnlp/stanza,0.21,0.231
python-excel/xlrd,elapouya/python-docx-template,0.342,0.202
lancopku/pkuseg-python,PetrochukM/PyTorch-NLP,0.5,0.699
django-crispy-forms/django-crispy-forms,davidaurelio/hashids-python,0.612,0.591
stephenmcd/mezzanine,Kotti/Kotti,0.049,0.084
benhamner/Metrics,JohnLangford/vowpal_wabbit,0.075,0.103
altair-viz/altair,bloomberg/bqplot,0.172,0.233
ovalhub/pyicu,sdispater/pendulum,0.492,0.346
ChrisKnott/Eel,pyglet/pyglet,0.205,0.137
lincolnloop/python-qrcode,python-pillow/Pillow,0.335,0.151
google/pyringe,google/pyringe,0.257,0.199
marrow/mailer,shinux/PyTime,0.128,0.07
vandersonmota/model_mommy,dbcli/pgcli,0.321,0.586
schematics/schematics,grantjenks/python-sortedcontainers,0.7,0.449
huge-success/sanic,dahlia/wand,0.4,0.923
timofurrer/maya,robotframework/robotframework,0.082,0.95
httplib2/httplib2,httplib2/httplib2,0.14,0.055
pytoolz/toolz,evhub/coconut,0.133,0.044
getpelican/pelican,jpadilla/pyjwt,0.23,0.567
MasoniteFramework/masonite,zopefoundation/ZODB,0.104,0.617
mahmoud/boltons,magenta/magenta,0.164,0.227
fengsp/plan,knipknap/SpiffWorkflow,0.08,0.194
coleifer/peewee,pyca/pynacl,0.96,0.685
flask-admin/flask-admin,alecthomas/voluptuous,0.948,0.467
PySimpleGUI/PySimpleGUI,ChrisKnott/Eel,0.302,0.036
boppreh/mouse,SavinaRoja/PyUserInput,0.439,0.086
Fizzadar/pyinfra,elapouya/python-docx-template,0.142,0.801
falconry/falcon,shazow/urllib3,0.084,0.698
wemake-services/wemake-python-styleguide,Cornices/cornice,0.73,0.187
magenta/magenta,mitsuhiko/pluginbase,0.642,0.263
orsinium/textdistance,pyca/pynacl,0.724,0.517
lektor/lektor,dyve/django-bootstrap3,0.295,0.389
istrategylabs/django-wordpress,miso-belica/sumy,0.155,0.806
ahupp/python-magic,daviddrysdale/python-phonenumbers,0.093,0.813
unoconv/unoconv,scanny/python-pptx,0.737,0.282
WiserTogether/django-remote-forms,lericson/pylibmc,0.375,0.434
bbangert/beaker,mining/mining,0.369,0.726
nicfit/eyeD3,encode/httpx,0.184,0.677
dabeaz/ply,mahmoud/boltons,0.671,0.149
sshwsfc/xadmin,napalm-automation/napalm,0.447,0.105
pallets/itsdangerous,mahmoud/boltons,0.684,0.103
pynamodb/PynamoDB,MongoEngine/mongoengine,0.312,0.086
JohnLangford/vowpal_wabbit,benhamner/Metrics,0.17,0.071
erikrose/more-itertools,pytoolz/toolz,0.525,0.167
sloria/doitlive,mooz/percol,0.258,0.105
martinblech/xmltodict,gawel/pyquery,0.206,0.088
dmlc/mxnet,BVLC/caffe,0.401,0.155
h2oai/h2o-3,mindsdb/mindsdb,0.336,0.12
aizvorski/scikit-video,flask-api/flask-api,0.254,0.747
prabhupant/python-ds,prabhupant/python-ds,0.134,0.685
0rpc/zerorpc-python,pytoolz/toolz,0.43,0.356
getsentry/responses,patrys/httmock,0.165,0.228
lorien/grab,scrapinghub/portia,0.474,0.197
uber/pyflame,gleitz/howdoi,0.908,0.242
prabhupant/python-ds,keon/algorithms,0.033,0.054
jet-admin/jet-bridge,jet-admin/jet-bridge,0.03,0.053
pytoolz/cytoolz,pytoolz/cytoolz,0.092,0.491
worldveil/dejavu,lepture/mistune,0.091,0.638
gleitz/howdoi,h2oai/h2o-3,0.886,0.547
cdgriffith/Box,python-attrs/attrs,0.593,0.708
Pylons/deform,Suor/django-cacheops,0.113,0.441
nose-devs/nose2,robotframework/robotframework,0.197,0.528
zopefoundation/ZODB,sloria/doitlive,0.171,0.584
seatgeek/fuzzywuzzy,glamp/bashplotlib,0.307,0.28
sqlmapproject/sqlmap,michaelhelmick/lassie,0.413,0.511
python-openxml/python-docx,elapouya/python-docx-template,0.22,0.324
thauber/django-schedule,SmileyChris/django-countries,0.608,0.131
grantjenks/python-sortedcontainers,PetrochukM/PyTorch-NLP,0.473,0.148
mikeorr/Unipath,gorakhargosh/watchdog,0.444,0.245
fogleman/Quads,TheAlgorithms/Python,0.308,0.192
deanmalmgren/textract,deanmalmgren/textract,0.195,0.109
httplib2/httplib2,alecthomas/voluptuous,0.678,0.29
myusuf3/delorean,graphql-python/graphene,0.072,0.515
mingrammer/diagrams,SciTools/cartopy,0.151,0.358
python-greenlet/greenlet,MagicStack/uvloop,0.481,0.105
evhub/coconut,pytoolz/cytoolz,0.224,0.048
ZoomerAnalytics/xlwings,django-crispy-forms/django-crispy-forms,0.886,0.903
laixintao/iredis,ageitgey/face_recognition,0.939,0.907
buriy/python-readability,geopy/geopy,0.261,0.807
binux/pyspider,scrapinghub/portia,0.089,0.874
codelucas/newspaper,psf/requests-html,0.507,0.597
Alir3z4/python-currencies,cloudnativelabs/kube-shell,0.531,0.838
jek/blinker,pallets/itsdangerous,0.177,0.094
dahlia/wand,hhatto/nude.py,0.071,0.057
pypa/bandersnatch,mindflayer/python-mocket,0.871,0.394
python-attrs/attrs,fengsp/plan,0.943,0.359
mailgun/flanker,marrow/mailer,0.038,0.079
daboth/pagan,lincolnloop/python-qrcode,0.069,0.054
benfred/implicit,spotify/annoy,0.216,0.092
platformio/platformio-core,pybuilder/pybuilder,0.65,0.118
laixintao/iredis,shinux/PyTime,0.775,0.538
sloria/doitlive,daviddrysdale/python-phonenumbers,0.378,0.476
mitsuhiko/unp,podio/valideer,0.679,0.534
spotify/luigi,dask/dask,0.437,0.496
Microsoft/Pyjion,LuminosoInsight/python-ftfy,0.136,0.186
kiddouk/redisco,kiddouk/redisco,0.111,0.233
jeffknupp/sandman2,falconry/falcon,0.446,0.741
getnikola/nikola,jschneier/django-storages,0.477,0.734
erikrose/more-itertools,evhub/coconut,0.624,0.164
LuminosoInsight/python-ftfy,mozillazg/python-pinyin,0.2,0.071
chriskiehl/Gooey,pyglet/pyglet,0.456,0.573
python-trio/trio,Miserlou/Zappa,0.775,0.757
httplib2/httplib2,encode/httpx,0.072,0.115
python-pillow/Pillow,daboth/pagan,0.097,0.057
michaelhelmick/lassie,keon/algorithms,0.272,0.175
mher/flower,h2oai/h2o-3,0.157,0.196
alecthomas/voluptuous,google/pytype,0.249,0.533
Suor/django-cacheops,django-cache-machine/django-cache-machine,0.134,0.462
istrategylabs/django-wordpress,google/google-api-python-client,0.448,0.817
Miserlou/Zappa,SciTools/cartopy,0.426,0.642
Parsely/streamparse,erikrose/more-itertools,0.875,0.605
scottrogowski/code2flow,shinux/PyTime,0.92,0.478
maciejkula/spotlight,getnikola/nikola,0.778,0.949
peterbrittain/asciimatics,django-haystack/django-haystack,0.582,0.919
joke2k/faker,joke2k/faker,0.058,0.058
beetbox/audioread,sergree/matchering,0.075,0.081
statsmodels/statsmodels,statsmodels/statsmodels,0.053,0.044
zachwill/moment,myusuf3/delorean,0.035,0.05
KoffeinFlummi/Chronyk,zachwill/moment,0.149,0.101
getnikola/nikola,getpelican/pelican,0.049,0.089
ryanmcgrath/twython,ryanmcgrath/twython,0.282,0.158
spyder-ide/spyder,scottrogowski/code2flow,0.311,0.143
django-crispy-forms/django-crispy-forms,wtforms/wtforms,0.701,0.144
dylanaraps/pywal,thauber/django-schedule,0.766,0.142
sebastien/cuisine,sebastien/cuisine,0.122,0.315
worldveil/dejavu,coleifer/huey,0.072,0.39
dask/dask,mitsuhiko/pluginbase,0.865,0.308
mitsuhiko/pluginbase,magenta/magenta,0.917,0.282
srusskih/SublimeJEDI,django-compressor/django-compressor,0.248,0.19
pykong/copier,pykong/copier,0.264,0.089
Suor/django-cacheops,pycco-docs/pycco,0.903,0.686
khamidou/lptrace,PyCQA/modernize,0.717,0.662
boto/boto3,mininet/mininet,0.236,0.308
rkern/line_profiler,uber/pyflame,0.035,0.232
Miserlou/Zappa,nvdv/vprof,0.339,0.328
faif/python-patterns,faif/python-patterns,0.429,0.355
rossgoodwin/hmap,thumbor/thumbor,0.143,0.071
zoofIO/flexx,pybee/toga,0.123,0.085
jazzband/pip-tools,indico/indico,0.48,0.655
Microsoft/PTVS,benfred/py-spy,0.204,0.584
miracle2k/webassets,inducer/pudb,0.741,0.266
mozilla/unicode-slugify,psf/requests-html,0.269,0.23
gleitz/howdoi,sloria/doitlive,0.269,0.218
martinrusev/imbox,html5lib/html5lib-python,0.48,0.259
cloudnativelabs/kube-shell,dbcli/pgcli,0.769,0.526
kootenpv/yagmail,unoconv/unoconv,0.93,0.503
podio/valideer,keleshev/schema,0.337,0.19
facebook/pyre-check,zoofIO/flexx,0.423,0.202
google/google-api-python-client,google/google-api-python-client,0.044,0.301
gawel/pyquery,kevin1024/vcrpy,0.198,0.415
jindaxiang/akshare,selwin/python-user-agents,0.353,0.105
awesto/django-shop,daviddrysdale/python-phonenumbers,0.094,0.157
alecthomas/voluptuous,KoffeinFlummi/Chronyk,0.283,0.346
klen/mixer,vandersonmota/model_mommy,0.132,0.397
PySimpleGUI/PySimpleGUI,joestump/python-oauth2,0.724,0.52
jonashaag/bjoern,Pylons/waitress,0.66,0.719
audreyr/cookiecutter,gleitz/howdoi,0.103,0.073
jiaaro/pydub,keunwoochoi/kapre,0.341,0.081
scottrogowski/code2flow,pypa/virtualenv,0.849,0.572
chapmanb/bcbio-nextgen,mozilla/unicode-slugify,0.916,0.583
ztane/python-Levenshtein,pwaller/pyfiglet,0.253,0.55
ellisonleao/pyshorteners,shinux/PyTime,0.475,0.615
CleanCut/green,scottrogowski/code2flow,0.65,0.278
stephenmcd/hot-redis,MongoEngine/mongoengine,0.338,0.304
Suor/django-cacheops,python/black,0.307,0.907
psf/requests-html,pytransitions/transitions,0.15,0.805
BVLC/caffe,dmlc/mxnet,0.276,0.132
timothycrosley/isort,python/black,0.128,0.148
martinrusev/imbox,jet-admin/jet-bridge,0.283,0.152
pybuilder/pybuilder,pybuilder/pybuilder,0.24,0.124
tiangolo/fastapi,hugapi/hug,0.26,0.189
MasoniteFramework/masonite,daboth/pagan,0.818,0.235
dmlc/mxnet,Theano/Theano,0.377,0.543
coleifer/peewee,sightmachine/SimpleCV,0.472,0.391
maxmind/geoip-api-python,Manisso/fsociety,0.87,0.74
sdispater/orator,alecthomas/voluptuous,0.531,0.805
chapmanb/bcbio-nextgen,cdgriffith/Box,0.864,0.308
peterbrittain/asciimatics,rsalmei/alive-progress,0.779,0.308
msiemens/tinydb,zopefoundation/ZODB,0.287,0.133
lericson/pylibmc,bbangert/beaker,0.231,0.151
spotify/dh-virtualenv,pallets/itsdangerous,0.752,0.616
MicroPyramid/forex-python,tyiannak/pyAudioAnalysis,0.957,0.649
euske/pdfminer,python-trio/trio,0.194,0.224
tomerfiliba/rpyc,tomerfiliba/rpyc,0.186,0.362
chapmanb/bcbb,google/python-fire,0.363,0.896
jorgenschaefer/elpy,gmr/queries,0.514,0.864
lektor/lektor,getnikola/nikola,0.033,0.072
timofurrer/maya,dirn/When.py,0.067,0.103
pyenv/pyenv,jazzband/pip-tools,0.195,0.712
spyder-ide/spyder,patrys/httmock,0.154,0.639
jendrikseipp/vulture,tomerfiliba/rpyc,0.673,0.431
coleifer/micawber,miracle2k/webassets,0.495,0.211
jindaxiang/akshare,jindaxiang/akshare,0.483,0.258
django-compressor/django-compressor,MongoEngine/mongoengine,0.112,0.396
maciejkula/spotlight,sirfz/tesserocr,0.209,0.532
lincolnloop/python-qrcode,asweigart/pyautogui,0.643,0.7
statsmodels/statsmodels,chapmanb/bcbb,0.037,0.142
davidaurelio/hashids-python,mahmoud/boltons,0.09,0.324
keunwoochoi/kapre,librosa/librosa,0.598,0.357
sunainapai/makesite,Parsely/streamparse,0.73,0.293
indico/indico,feincms/feincms,0.059,0.18
elapouya/python-docx-template,python-excel/xlrd,0.066,0.129
ztane/python-Levenshtein,mozillazg/python-pinyin,0.126,0.05
librosa/librosa,beetbox/audioread,0.11,0.081
RaylockLLC/DearPyGui,patx/pickledb,0.802,0.426
django-cache-machine/django-cache-machine,Suor/django-cacheops,0.632,0.558
ionelmc/python-hunter,wtforms/wtforms,0.459,0.61
saffsd/langid.py,saffsd/langid.py,0.11,0.486
paramiko/paramiko,peterbrittain/asciimatics,0.629,0.255
getsentry/sentry-python,python-excel/xlrd,0.319,0.122
dmlc/mxnet,coleifer/peewee,0.95,0.13
antocuni/pdb,jonashaag/bjoern,0.878,0.2
worldveil/dejavu,librosa/librosa,0.781,0.137
Maratyszcza/PeachPy,sergree/matchering,0.883,0.16
google/yapf,python/black,0.713,0.736
django-haystack/pysolr,xonsh/xonsh,0.951,0.726
KoffeinFlummi/Chronyk,timofurrer/maya,0.05,0.048
fogleman/Quads,fogleman/Quads,0.033,0.071
michaelhelmick/lassie,RaylockLLC/DearPyGui,0.942,0.275
thumbor/thumbor,daboth/pagan,0.429,0.224
pymc-devs/pymc3,pypa/virtualenv,0.271,0.546
chineking/cola,scrapinghub/portia,0.022,0.286
pyinvoke/invoke,lepture/authlib,0.609,0.703
PyCQA/prospector,PyCQA/prospector,0.487,0.694
Alir3z4/python-currencies,ellisonleao/pyshorteners,0.068,0.513
libvips/pyvips,daboth/pagan,0.089,0.32
lxneng/alipay,hugapi/hug,0.063,0.799
ionelmc/python-manhole,flask-restful/flask-restful,0.329,0.832
librosa/librosa,librosa/librosa,0.063,0.057
jazzband/pip-tools,conda/conda,0.147,0.094
ztane/python-Levenshtein,LuminosoInsight/python-ftfy,0.182,0.053
tqdm/tqdm,inducer/pudb,0.296,0.075
falconry/falcon,huge-success/sanic,0.062,0.3
ironmussa/Optimus,pybuilder/pybuilder,0.353,0.58
mpdavis/python-jose,CleanCut/green,0.234,0.549
mingrammer/diagrams,mingrammer/diagrams,0.048,0.355
awesto/django-shop,cobrateam/splinter,0.496,0.845
