repo1,repo2,Similarity(No. 1),Similarity(No. 2)
scottrogowski/code2flow,coala/coala,0.179,0.742
amitt001/delegator.py,stephenmcd/hot-redis,0.517,0.74
metawilm/cl-python,Microsoft/Pyjion,0.098,0.087
boto/boto3,istrategylabs/django-wordpress,0.085,0.038
nose-devs/nose2,ChrisKnott/Eel,0.312,0.393
grantjenks/python-sortedcontainers,tyiannak/pyAudioAnalysis,0.214,0.284
kiwicom/schemathesis,cobrateam/splinter,0.136,0.433
sightmachine/SimpleCV,RaylockLLC/DearPyGui,0.404,0.501
encode/uvicorn,lericson/pylibmc,0.281,0.353
jaraco/path.py,pyfilesystem/pyfilesystem2,0.662,0.247
lancopku/pkuseg-python,facebookresearch/pytext,0.151,0.102
dahlia/wand,python-pillow/Pillow,0.152,0.057
jendrikseipp/vulture,scottrogowski/code2flow,0.373,0.195
dmlc/mxnet,stephenmcd/hot-redis,0.73,0.183
zoofIO/flexx,Theano/Theano,0.648,0.446
grantjenks/python-sortedcontainers,google/pytype,0.793,0.575
ztane/python-Levenshtein,orsinium/textdistance,0.444,0.077
martinblech/xmltodict,html5lib/html5lib-python,0.169,0.075
coleifer/huey,Bogdanp/dramatiq,0.298,0.663
jendrikseipp/vulture,michaelhelmick/lassie,0.756,0.644
andialbrecht/sqlparse,derek73/python-nameparser,0.494,0.593
django-cache-machine/django-cache-machine,sqlmapproject/sqlmap,0.735,0.628
scrapinghub/portia,chineking/cola,0.058,0.365
pyca/pynacl,zoofIO/flexx,0.045,0.623
robotframework/robotframework,HypothesisWorks/hypothesis,0.887,0.835
PyCQA/modernize,HypothesisWorks/hypothesis,0.777,0.689
psf/requests,tartiflette/tartiflette-aiohttp,0.558,0.879
tartiflette/tartiflette-asgi,fxsjy/jieba,0.883,0.9
sightmachine/SimpleCV,sirfz/tesserocr,0.243,0.093
blaze/blaze,ironmussa/Optimus,0.505,0.211
Theano/Theano,BVLC/caffe,0.725,0.581
BVLC/caffe,tartiflette/tartiflette-aiohttp,0.24,0.54
unoconv/unoconv,unoconv/unoconv,0.271,0.039
daboth/pagan,WhyNotHugo/python-barcode,0.132,0.056
maciejkula/spotlight,jfkirk/tensorrec,0.057,0.069
laixintao/iredis,CleanCut/green,0.083,0.111
PetrochukM/PyTorch-NLP,saffsd/langid.py,0.423,0.067
rogerbinns/apsw,uber/pyflame,0.748,0.121
dabeaz/ply,jschneier/django-storages,0.892,0.186
sdispater/orator,twisted/treq,0.574,0.213
stanfordnlp/stanza,burnash/gspread,0.449,0.563
pyparsing/pyparsing,andialbrecht/sqlparse,0.574,0.563
mooz/percol,pyinvoke/invoke,0.319,0.556
flask-restful/flask-restful,beetbox/beets,0.623,0.586
MicroPyramid/forex-python,lxneng/alipay,0.054,0.054
jet-admin/jet-bridge,sshwsfc/xadmin,0.069,0.073
glamp/bashplotlib,tqdm/tqdm,0.098,0.35
jmcarp/robobrowser,Manisso/fsociety,0.605,0.426
mwaskom/seaborn,bloomberg/bqplot,0.148,0.338
jiaaro/pydub,BVLC/caffe,0.104,0.6
michaelhelmick/lassie,huge-success/sanic,0.926,0.172
openai/gym,moggers87/salmon,0.965,0.326
python-pillow/Pillow,chapmanb/bcbio-nextgen,0.063,0.144
